fire_ID,latitude,longitude,size,perimeter,start_date,end_date,duration,speed,expansion,sentiment,num_tweets
530,29.2438,-107.842,0.64,5.56,2016-01-16,2016-01-17,2,0.77,0.32,
532,29.2438,-107.866,0.21,1.85,2016-01-20,2016-01-20,1,0.46,0.21,
534,29.2313,-107.862,0.21,1.85,2016-01-17,2016-01-17,1,0.46,0.21,
536,29.2313,-107.829,0.43,3.7,2016-01-16,2016-01-18,3,0.35,0.14,
538,29.1896,-106.764,5.36,18.52,2016-01-13,2016-01-30,18,0.94,0.3,
540,29.1938,-106.802,0.64,3.7,2016-02-11,2016-02-15,5,0.42,0.13,
542,29.0938,-107.074,1.29,5.56,2016-01-23,2016-02-01,10,0.61,0.13,
544,29.0813,-106.937,3.86,15.74,2016-04-25,2016-04-26,2,2.89,1.93,
546,29.0688,-106.767,1.07,6.48,2016-01-13,2016-01-15,3,1.02,0.36,
548,29.0646,-103.059,3.86,11.11,2016-07-20,2016-08-02,14,0.69,0.28,
550,28.9938,-111.468,1.07,5.56,2016-01-06,2016-01-09,4,0.46,0.27,
552,28.9938,-106.694,1.5,6.48,2016-01-06,2016-01-10,5,0.81,0.3,
554,28.9813,-107.534,1.29,5.56,2016-01-26,2016-01-27,2,0.7,0.64,
556,28.9771,-110.811,0.43,2.78,2016-03-01,2016-03-05,5,0.29,0.09,
558,28.9604,-107.431,0.64,3.7,2016-01-14,2016-01-19,6,0.35,0.11,
560,28.9396,-107.438,5.57,16.67,2016-01-15,2016-02-03,20,1.1,0.28,
562,28.9271,-107.349,0.43,2.78,2016-01-27,2016-01-29,3,0.47,0.14,
564,28.9146,-111.287,2.57,8.33,2015-11-24,2015-11-29,6,1.03,0.43,
566,28.8688,-107.289,2.79,10.19,2016-01-12,2016-01-17,6,0.68,0.46,
568,28.8688,-109.292,3.22,9.26,2016-06-02,2016-06-10,9,0.91,0.36,
570,28.8521,-107.31,2.36,10.19,2016-01-14,2016-01-19,6,1.33,0.39,
572,28.8188,-106.862,0.86,4.63,2016-01-26,2016-01-26,1,0.79,0.86,
574,28.7979,-107.107,3.22,9.26,2016-01-12,2016-01-14,3,1.22,1.07,
576,28.7979,-107.064,2.79,12.96,2016-01-15,2016-01-22,8,0.72,0.35,
578,28.7938,-107.05,1.71,8.33,2016-01-30,2016-02-09,11,0.85,0.16,
580,28.8104,-107.015,0.64,3.7,2016-01-13,2016-01-20,8,0.52,0.08,
582,28.7771,-107.156,2.57,10.19,2016-02-11,2016-02-23,13,0.88,0.2,
584,28.8021,-107.125,0.43,2.78,2016-01-13,2016-01-13,1,0.46,0.43,
586,28.7771,-107.133,2.36,8.33,2016-01-14,2016-01-20,7,0.56,0.34,
588,28.7771,-107.023,0.64,4.63,2016-01-15,2016-01-20,6,0.39,0.11,
590,28.7354,-107.004,19.72,27.78,2016-01-11,2016-02-02,23,1.18,0.86,
592,28.7021,-107.051,29.8,64.82,2016-01-12,2016-01-27,16,4.34,1.86,
594,28.7313,-107.095,2.36,8.33,2016-01-27,2016-02-02,7,0.89,0.34,
596,28.7021,-107.013,3.43,10.19,2016-02-04,2016-02-04,1,1.71,3.43,
598,28.7438,-111.504,0.86,4.63,2016-07-27,2016-07-31,5,0.51,0.17,
600,28.7396,-107.08,0.21,1.85,2015-12-14,2015-12-14,1,0.46,0.21,
602,28.7021,-106.951,1.07,5.56,2016-01-13,2016-01-13,1,0.95,1.07,
604,28.6979,-107.08,1.71,6.48,2016-01-13,2016-01-17,5,0.72,0.34,
606,28.6854,-107.067,0.43,2.78,2015-12-14,2015-12-14,1,0.46,0.43,
608,28.6729,-106.95,0.43,2.78,2016-01-28,2016-01-28,1,0.46,0.43,
